iter	Passed	Remaining
406	3689	5375
407	3695	5361
408	3701	5348
409	3707	5334
410	3714	5323
411	3720	5310
412	3728	5298
413	3733	5284
414	3738	5269
415	3745	5258
416	3753	5247
417	3760	5235
418	3766	5222
419	3775	5213
420	3784	5204
421	3791	5193
422	3798	5181
423	3805	5169
424	3811	5156
425	3818	5144
426	3824	5132
427	3831	5120
428	3837	5107
429	3842	5093
430	3849	5081
431	3855	5068
432	3860	5055
433	3866	5042
434	3871	5029
435	3880	5020
436	3886	5007
437	3895	4998
438	3901	4985
439	3906	4972
440	3912	4959
441	3918	4947
442	3927	4938
443	3933	4925
444	3938	4912
445	3946	4902
446	3951	4888
447	3956	4875
448	3962	4862
449	3967	4849
450	3973	4836
451	3978	4823
452	3984	4811
453	3991	4800
454	3997	4787
455	4003	4775
456	4010	4765
457	4017	4753
458	4025	4744
459	4031	4732
460	4042	4726
461	4047	4713
462	4055	4704
463	4061	4691
464	4066	4678
465	4072	4666
466	4077	4654
467	4083	4641
468	4089	4630
469	4095	4618
470	4101	4606
471	4107	4595
472	4113	4583
473	4119	4571
474	4125	4559
475	4131	4547
476	4138	4537
477	4144	4525
478	4152	4516
479	4158	4504
480	4169	4499
481	4173	4485
482	4178	4473
483	4185	4461
484	4190	4449
485	4198	4440
486	4203	4427
487	4208	4415
488	4217	4406
489	4222	4395
490	4229	4384
491	4234	4372
492	4239	4360
493	4247	4350
494	4253	4339
495	4260	4329
496	4267	4318
497	4272	4307
498	4280	4297
499	4285	4285
500	4291	4274
501	4297	4263
502	4303	4251
503	4310	4242
504	4316	4231
505	4326	4223
506	4331	4212
507	4337	4200
508	4344	4190
509	4349	4179
510	4360	4172
511	4365	4161
512	4372	4150
513	4378	4139
514	4387	4131
515	4394	4122
516	4399	4110
517	4409	4102
518	4416	4093
519	4429	4089
520	4435	4078
521	4441	4066
522	4446	4055
523	4452	4044
524	4458	4033
525	4463	4022
526	4472	4013
527	4477	4002
528	4485	3993
529	4491	3982
530	4497	3972
531	4507	3965
532	4512	3953
533	4521	3945
534	4527	3934
535	4535	3925
536	4540	3914
537	4546	3904
538	4552	3893
539	4558	3882
540	4564	3872
541	4570	3862
542	4575	3851
543	4581	3840
544	4587	3829
545	4592	3818
546	4598	3808
547	4604	3797
548	4609	3786
549	4615	3776
550	4621	3765
551	4629	3756
552	4634	3746
553	4640	3735
554	4646	3725
555	4652	3715
556	4660	3706
557	4666	3696
558	4671	3685
559	4677	3675
560	4683	3664
561	4693	3657
562	4699	3647
563	4704	3637
564	4710	3626
565	4716	3616
566	4721	3605
567	4727	3595
568	4734	3586
569	4741	3576
570	4746	3566
571	4752	3556
572	4759	3546
573	4764	3536
574	4772	3527
575	4780	3518
576	4785	3508
577	4791	3498
578	4797	3488
579	4804	3478
580	4809	3468
581	4817	3459
582	4827	3452
583	4838	3446
584	4846	3438
585	4856	3430
586	4861	3420
587	4869	3412
588	4876	3402
589	4883	3393
590	4889	3383
591	4894	3373
592	4900	3363
593	4906	3353
594	4912	3343
595	4922	3336
596	4927	3326
597	4935	3318
598	4941	3308
599	4949	3299
600	4955	3289
601	4960	3279
602	4967	3270
603	4973	3260
604	4978	3250
605	4984	3240
606	4990	3230
607	4996	3221
608	5001	3211
609	5007	3201
610	5014	3192
611	5020	3183
612	5031	3176
613	5036	3166
614	5043	3157
615	5049	3147
616	5055	3138
617	5062	3128
618	5067	3119
619	5074	3109
620	5079	3100
621	5085	3090
622	5091	3081
623	5097	3071
624	5105	3063
625	5111	3053
626	5117	3044
627	5123	3034
628	5128	3025
629	5134	3015
630	5139	3005
631	5145	2996
632	5151	2986
633	5156	2976
634	5163	2967
635	5168	2958
636	5174	2948
637	5182	2940
638	5187	2930
639	5193	2921
640	5200	2912
641	5205	2902
642	5212	2894
643	5218	2884
644	5223	2875
645	5230	2866
646	5236	2856
647	5241	2847
648	5249	2838
649	5255	2829
650	5263	2821
651	5273	2814
652	5279	2805
653	5285	2796
654	5293	2788
655	5299	2778
656	5305	2769
657	5311	2760
658	5320	2753
659	5331	2746
660	5339	2738
661	5345	2729
662	5351	2720
663	5363	2714
664	5369	2705
665	5378	2697
666	5383	2687
667	5392	2679
668	5400	2671
669	5409	2664
670	5420	2657
671	5432	2651
672	5444	2645
673	5462	2641
674	5471	2634
675	5481	2626
676	5487	2618
677	5493	2609
678	5499	2599
679	5505	2590
680	5511	2581
681	5517	2572
682	5522	2563
683	5529	2554
684	5536	2546
685	5546	2538
686	5554	2530
687	5560	2521
688	5566	2512
689	5571	2503
690	5577	2494
691	5584	2485
692	5592	2477
693	5604	2471
694	5613	2463
695	5622	2455
696	5628	2446
697	5635	2438
698	5640	2429
699	5649	2421
700	5657	2412
701	5669	2406
702	5674	2397
703	5681	2388
704	5687	2379
705	5693	2370
706	5699	2361
707	5705	2353
708	5715	2345
709	5721	2337
710	5729	2328
711	5734	2319
712	5741	2311
713	5746	2301
714	5752	2292
715	5760	2284
716	5769	2277
717	5781	2270
718	5792	2263
719	5800	2255
720	5811	2248
721	5819	2240
722	5830	2233
723	5837	2225
724	5842	2216
725	5847	2207
726	5855	2198
727	5861	2189
