iter	Logloss
0	0.6796951387
1	0.667194775
2	0.6579346655
3	0.646881899
4	0.6361825837
5	0.6257878088
6	0.6158578282
7	0.6083174501
8	0.5999729229
9	0.5912441193
10	0.5843304401
11	0.5759992216
12	0.5687926846
13	0.5618151441
14	0.5548085628
15	0.548845242
16	0.5426870509
17	0.5367224375
18	0.5311853081
19	0.5262421009
20	0.5225964273
21	0.5185321997
22	0.5137673875
23	0.510430132
24	0.506081894
25	0.5025569423
26	0.4989806788
27	0.4951723006
28	0.4915520807
29	0.4883150298
30	0.4851952194
31	0.4832147863
32	0.4803653636
33	0.4775658217
34	0.4755871249
35	0.473602672
36	0.4711157858
37	0.4686578975
38	0.4667233756
39	0.464706021
40	0.4628966003
41	0.4612424889
42	0.4593756226
43	0.457965355
44	0.4563491628
45	0.4546723502
46	0.4532679967
47	0.4518162436
48	0.4507074238
49	0.4492449506
50	0.4480887842
51	0.4470859432
52	0.4458601695
53	0.4449729835
54	0.4438134283
55	0.4428388651
56	0.4419479829
57	0.4408838207
58	0.4399054213
59	0.4390401859
60	0.4384928297
61	0.4375852539
62	0.4370565066
63	0.4361533912
64	0.4351222198
65	0.4340818611
66	0.4333314944
67	0.4324695963
68	0.4317836627
69	0.4310778937
70	0.4303024155
71	0.4296612839
72	0.4289973721
73	0.4284679107
74	0.4278746464
75	0.4275075163
76	0.4269227036
77	0.4263986939
78	0.4256974888
79	0.4251166788
80	0.4246685706
81	0.4242159763
82	0.4236542619
83	0.4232704096
84	0.4227253798
85	0.422446554
86	0.4219746214
87	0.4215893383
88	0.4212175528
89	0.4206928472
90	0.4202787029
91	0.4197802427
92	0.4193795408
93	0.4190072671
94	0.4185649648
95	0.4182913322
96	0.417894359
97	0.4176405299
98	0.4172035933
99	0.4168465933
100	0.4165863735
101	0.4162225589
102	0.415884731
103	0.4155033895
104	0.4151913918
105	0.415075279
106	0.4147641377
107	0.4144700081
108	0.4142018514
109	0.4139784066
110	0.4137858762
111	0.4135980275
112	0.4133031501
113	0.4129808363
114	0.4127289706
115	0.4124491825
116	0.4123046807
117	0.4120362862
118	0.411760886
119	0.411521316
120	0.4113066304
121	0.4110201899
122	0.4107877537
123	0.4105655255
124	0.4103628751
125	0.4101434275
126	0.4099588228
127	0.4096959679
128	0.4095193102
129	0.4093436708
130	0.409118688
131	0.4089021757
132	0.4086475885
133	0.4085188801
134	0.4083319635
135	0.4082054559
136	0.4079978689
137	0.4077750007
138	0.4076003498
139	0.4073966109
140	0.4072112461
141	0.4070230333
142	0.406907072
143	0.4067045902
144	0.4065506664
145	0.4063908764
146	0.4062697522
147	0.4061421902
148	0.4060068565
149	0.405861822
150	0.4057718428
151	0.4056140919
152	0.4054982874
153	0.4053301917
154	0.4051302581
155	0.4049555372
156	0.4047941121
157	0.4046825355
158	0.4045275108
159	0.4043363776
160	0.4042310417
161	0.404118446
162	0.4039631696
163	0.4038782949
164	0.4037393076
165	0.4036169425
166	0.4034202628
167	0.403209532
168	0.4030913843
169	0.4029876397
170	0.4028841883
171	0.402785777
172	0.4026431248
173	0.4025534884
174	0.4024384893
175	0.4023020883
176	0.4022070589
177	0.4020923544
178	0.4020697597
179	0.4019245288
180	0.4017769806
181	0.4016265137
182	0.4015244887
183	0.4013892588
184	0.4012757247
185	0.4011916179
186	0.4010397052
187	0.40097171
188	0.4008267557
189	0.4007231193
190	0.4005789005
191	0.4004517479
192	0.4003188704
193	0.4002409827
194	0.4000480857
195	0.399904063
196	0.3998591879
197	0.3997305525
198	0.3996445321
199	0.3995984208
200	0.3994892371
201	0.3993859228
202	0.3992937368
203	0.3992029956
204	0.3991038101
205	0.3990178265
206	0.3989378889
207	0.3988391087
208	0.3986914384
209	0.3985456729
210	0.3984698144
211	0.398342611
212	0.3981981243
213	0.3981004021
214	0.3980408931
215	0.397874118
216	0.3978033269
217	0.3977859122
218	0.3976928367
219	0.397619401
220	0.3975148559
221	0.3973965507
222	0.3972958846
223	0.3972368761
224	0.3971119849
225	0.3969720971
226	0.3969068585
227	0.3967769415
228	0.396725707
229	0.3966045012
230	0.3964810821
231	0.396407336
232	0.396347187
233	0.3962554538
234	0.3961789278
235	0.3961189267
236	0.3960036768
237	0.3959042021
238	0.3958105174
239	0.3957454814
240	0.3956581098
241	0.3955766218
242	0.3954863263
243	0.3954205688
244	0.3953490254
245	0.3952828353
246	0.3951949572
247	0.3950595556
248	0.3949731201
249	0.3949067607
250	0.3948088505
251	0.3947413873
252	0.394653062
253	0.3945506028
254	0.3944445937
255	0.3943268934
256	0.3942455749
257	0.3941783903
258	0.3941262184
259	0.3940332832
260	0.3939510997
261	0.3938924683
262	0.3937881555
263	0.3937292026
